No;author;comment;datetime_post;account_instagram_artist;caption_postingan;link_post;img_link
1;daffahrvcrv;Slide pertama menggambarkan masa depan 🤩;2023-08-09T06:24:22.000Z;alghazali7;"Nobar and meet & greet Virgin Mom 2!
See you guys 11 Agustus!

Enjoy! 😉";https://www.instagram.com/p/CvtrNSpyWq7/;https://instagram.fjog3-1.fna.fbcdn.net/v/t51.2885-15/366146354_1040401743620705_6764000220893831303_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fjog3-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=akXk4MLtTRcAX9KFGk7&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzE2NTM3NjEzNjM3NzY5NDY0Ng%3D%3D.2-ccb7-5&oh=00_AfBzWZwZh6ej3kLhPqjaQ531JTELxuwe2ROjnyJ00Fy_zg&oe=64D9F65A&_nc_sid=ee9879
2;jenyyy.jen;Foto keluarga bgt yg slide 1 ya al😂🤣 aamiin yaa semoga ntr jadi kenyataan itu foto 🤲🏻;2023-08-09T06:24:22.000Z;alghazali7;"Nobar and meet & greet Virgin Mom 2!
See you guys 11 Agustus!

Enjoy! 😉";https://www.instagram.com/p/CvtrNSpyWq7/;https://instagram.fjog3-1.fna.fbcdn.net/v/t51.2885-15/366146354_1040401743620705_6764000220893831303_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fjog3-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=akXk4MLtTRcAX9KFGk7&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzE2NTM3NjEzNjM3NzY5NDY0Ng%3D%3D.2-ccb7-5&oh=00_AfBzWZwZh6ej3kLhPqjaQ531JTELxuwe2ROjnyJ00Fy_zg&oe=64D9F65A&_nc_sid=ee9879
3;alvaliyanov;Sukses ya Al sama seriesnya. Anak kecilnya gemes bgt;2023-08-09T06:24:22.000Z;alghazali7;"Nobar and meet & greet Virgin Mom 2!
See you guys 11 Agustus!

Enjoy! 😉";https://www.instagram.com/p/CvtrNSpyWq7/;https://instagram.fjog3-1.fna.fbcdn.net/v/t51.2885-15/366146354_1040401743620705_6764000220893831303_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fjog3-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=akXk4MLtTRcAX9KFGk7&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzE2NTM3NjEzNjM3NzY5NDY0Ng%3D%3D.2-ccb7-5&oh=00_AfBzWZwZh6ej3kLhPqjaQ531JTELxuwe2ROjnyJ00Fy_zg&oe=64D9F65A&_nc_sid=ee9879
4;asyrafjamall;wiiii🔥;2023-08-09T06:24:22.000Z;alghazali7;"Nobar and meet & greet Virgin Mom 2!
See you guys 11 Agustus!

Enjoy! 😉";https://www.instagram.com/p/CvtrNSpyWq7/;https://instagram.fjog3-1.fna.fbcdn.net/v/t51.2885-15/366146354_1040401743620705_6764000220893831303_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fjog3-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=akXk4MLtTRcAX9KFGk7&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzE2NTM3NjEzNjM3NzY5NDY0Ng%3D%3D.2-ccb7-5&oh=00_AfBzWZwZh6ej3kLhPqjaQ531JTELxuwe2ROjnyJ00Fy_zg&oe=64D9F65A&_nc_sid=ee9879
5;yoshivitaloka;Lily napa cocok bgt jadi anak alamanda, mirip kombinasi face nyaa 🥹🙈🙈;2023-08-09T06:24:22.000Z;alghazali7;"Nobar and meet & greet Virgin Mom 2!
See you guys 11 Agustus!

Enjoy! 😉";https://www.instagram.com/p/CvtrNSpyWq7/;https://instagram.fjog3-1.fna.fbcdn.net/v/t51.2885-15/366146354_1040401743620705_6764000220893831303_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fjog3-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=akXk4MLtTRcAX9KFGk7&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzE2NTM3NjEzNjM3NzY5NDY0Ng%3D%3D.2-ccb7-5&oh=00_AfBzWZwZh6ej3kLhPqjaQ531JTELxuwe2ROjnyJ00Fy_zg&oe=64D9F65A&_nc_sid=ee9879
6;yuliantiii_____;Slide pertama gemes bgt, berasa liat keluarga kecil beneran 😍🥰;2023-08-09T06:24:22.000Z;alghazali7;"Nobar and meet & greet Virgin Mom 2!
See you guys 11 Agustus!

Enjoy! 😉";https://www.instagram.com/p/CvtrNSpyWq7/;https://instagram.fjog3-1.fna.fbcdn.net/v/t51.2885-15/366146354_1040401743620705_6764000220893831303_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fjog3-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=akXk4MLtTRcAX9KFGk7&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzE2NTM3NjEzNjM3NzY5NDY0Ng%3D%3D.2-ccb7-5&oh=00_AfBzWZwZh6ej3kLhPqjaQ531JTELxuwe2ROjnyJ00Fy_zg&oe=64D9F65A&_nc_sid=ee9879
7;alamanda_fanbase;Kayaknya emy ni beneran anak nya al amanda yaa 🤣🤏🏻;2023-08-09T06:24:22.000Z;alghazali7;"Nobar and meet & greet Virgin Mom 2!
See you guys 11 Agustus!

Enjoy! 😉";https://www.instagram.com/p/CvtrNSpyWq7/;https://instagram.fjog3-1.fna.fbcdn.net/v/t51.2885-15/366146354_1040401743620705_6764000220893831303_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fjog3-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=akXk4MLtTRcAX9KFGk7&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzE2NTM3NjEzNjM3NzY5NDY0Ng%3D%3D.2-ccb7-5&oh=00_AfBzWZwZh6ej3kLhPqjaQ531JTELxuwe2ROjnyJ00Fy_zg&oe=64D9F65A&_nc_sid=ee9879
8;jeffryreksaa;🔥🔥🙌🙌;2023-08-09T06:24:22.000Z;alghazali7;"Nobar and meet & greet Virgin Mom 2!
See you guys 11 Agustus!

Enjoy! 😉";https://www.instagram.com/p/CvtrNSpyWq7/;https://instagram.fjog3-1.fna.fbcdn.net/v/t51.2885-15/366146354_1040401743620705_6764000220893831303_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fjog3-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=akXk4MLtTRcAX9KFGk7&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzE2NTM3NjEzNjM3NzY5NDY0Ng%3D%3D.2-ccb7-5&oh=00_AfBzWZwZh6ej3kLhPqjaQ531JTELxuwe2ROjnyJ00Fy_zg&oe=64D9F65A&_nc_sid=ee9879
9;yunidades;Inisih kaya keluarga cemara beneran 😭😍;2023-08-09T06:24:22.000Z;alghazali7;"Nobar and meet & greet Virgin Mom 2!
See you guys 11 Agustus!

Enjoy! 😉";https://www.instagram.com/p/CvtrNSpyWq7/;https://instagram.fjog3-1.fna.fbcdn.net/v/t51.2885-15/366146354_1040401743620705_6764000220893831303_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fjog3-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=akXk4MLtTRcAX9KFGk7&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzE2NTM3NjEzNjM3NzY5NDY0Ng%3D%3D.2-ccb7-5&oh=00_AfBzWZwZh6ej3kLhPqjaQ531JTELxuwe2ROjnyJ00Fy_zg&oe=64D9F65A&_nc_sid=ee9879
10;iwulwulandari90;Iya mirip sekali pantes jadi Anak Al dan manda;2023-08-09T06:24:22.000Z;alghazali7;"Nobar and meet & greet Virgin Mom 2!
See you guys 11 Agustus!

Enjoy! 😉";https://www.instagram.com/p/CvtrNSpyWq7/;https://instagram.fjog3-1.fna.fbcdn.net/v/t51.2885-15/366146354_1040401743620705_6764000220893831303_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fjog3-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=akXk4MLtTRcAX9KFGk7&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzE2NTM3NjEzNjM3NzY5NDY0Ng%3D%3D.2-ccb7-5&oh=00_AfBzWZwZh6ej3kLhPqjaQ531JTELxuwe2ROjnyJ00Fy_zg&oe=64D9F65A&_nc_sid=ee9879
